,BPM,Activity Index,Bends per 9.09 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
3,0.0,0.0,0.0,0.03482259989436009,0.0432993829130329,,0.0528,53.0,False,['all'],0.2264150943396226,0.9374023145301288
4,0.0,0.0,0.0,0.006080625404105782,0.006080625404105782,,0.041600000000000005,68.0,False,['all'],1.0,0.8360008706326988
6,58.23529411764706,0.03843529411764706,8.823529411764707,0.11938561581463449,0.1586116288849224,0.05766850279159382,0.0792,102.0,True,['all'],0.6699029126213591,0.9165894343960803
7,0.0,0.0,0.0,0.028709942619939387,0.028709942619939387,,0.0408,72.0,False,['all'],0.0,0.9729078668936739
9,0.0,0.0,0.0,0.026353658306247522,0.03235196684011042,,0.0528,74.0,False,['all'],1.0,0.8314866051120131
14,0.0,0.0,0.0,0.03465457397741386,0.09985598628365945,,0.128,65.0,False,['all'],0.01538461538461533,0.961487778087309
15,174.7058823529412,0.1071529411764706,26.47058823529412,0.011105891561527638,0.06696400639620012,0.04785111998153915,0.0736,62.0,True,['all'],0.30434782608695654,0.9392789663507839
16,0.0,0.0,0.0,0.011648111310734672,0.024905998237752178,,0.06720000000000001,73.0,False,['all'],1.0,0.8775741104504204
21,71.73913043478261,0.06695652173913043,10.869565217391306,0.03945529626146372,0.052334178126231916,0.05842051117433683,0.112,127.0,True,['all'],0.37410071942446044,0.9523154467565491
29,0.0,0.0,0.0,0.027198224555003352,0.0402947623746957,,0.049600000000000005,148.0,False,['all'],1.0,0.7186250645513023
30,0.0,0.0,0.0,0.0065725272157089246,0.008444299458057919,,0.04,65.0,False,['all'],0.03076923076923077,0.9322693419255113
39,0.0,0.0,0.0,0.07220092802297307,0.0954749778935064,,0.0688,68.0,False,['all'],0.7866666666666666,0.7814397043976798
40,0.0,0.0,0.0,0.016641177200657185,0.016641177200657185,,0.0432,70.0,False,['all'],0.0,0.9604121310103884
42,0.0,0.0,0.0,0.0,0.023513639207287735,,0.057600000000000005,57.0,False,['all'],0.0,0.9911138349113738
43,0.0,0.0,0.0,0.0,0.04257462718941532,,0.09920000000000001,70.0,False,['all'],0.0,0.9630206836685058
51,53.513513513513516,0.0528,8.108108108108109,0.02525547941817852,0.030188340223254853,0.0337944662824592,0.1184,70.0,True,['all'],0.06666666666666665,0.9590337218046795
58,0.0,0.0,0.0,0.023368791290712485,0.053474229954564495,,0.1456,70.0,False,['all'],0.0,0.978058017762909
62,0.0,0.0,0.0,0.005593008169780675,0.008080078941108775,,0.054400000000000004,74.0,False,['all'],0.027027027027026973,0.9365075759253066
63,0.0,0.0,0.0,0.011272908003777487,0.011649840112730505,,0.0592,59.0,False,['all'],0.0,0.9544831105938197
72,0.0,0.0,0.0,0.014679785978773239,0.01724095773039651,,0.056,56.0,False,['all'],0.050000000000000044,0.9431589885661912
78,0.0,0.0,0.0,0.02573846866460564,0.0315326447868713,,0.054400000000000004,61.0,False,['all'],0.0,0.9685403383701563
114,30.461538461538463,0.041630769230769235,4.615384615384616,0.19592007473826692,0.2329361065528311,0.0,0.164,62.0,True,['all'],0.045454545454545414,0.9746663353773596
115,0.0,0.0,0.0,0.0049346892937287825,0.06367869769187469,,0.07680000000000001,69.0,False,['all'],0.0,0.9831168619884267
131,0.0,0.0,0.0,0.0025509756984044172,0.049470172669966936,,0.14,64.0,False,['all'],0.0,0.9384679346834828
141,0.0,0.0,0.0,0.012494970559289277,0.01870959589828192,,0.0752,62.0,False,['all'],1.0,0.8868101805853975
143,0.0,0.0,0.0,0.05162473921388752,0.05647857928460411,,0.0448,60.0,False,['all'],1.0,0.6278329256802808
145,0.0,0.0,0.0,0.0489160787717097,0.0746148235668502,,0.1264,60.0,False,['all'],0.8333333333333334,0.9156162135869528
146,0.0,0.0,0.0,0.006949254083249742,0.01785423701888341,,0.1504,60.0,False,['all'],0.0,0.9561362415538689
147,0.0,0.0,0.0,0.0644936962864071,0.11535136019837315,,0.09920000000000001,60.0,False,['all'],0.0,0.9800617780054209
160,0.0,0.0,0.0,0.018701838778215893,0.020188414790824474,,0.04,57.0,False,['all'],0.6842105263157895,0.913989444405361
171,0.0,0.0,0.0,0.004350819929609573,0.006147999195879475,,0.057600000000000005,55.0,False,['all'],0.0,0.9473567276195777
172,37.35849056603774,0.03885283018867925,5.660377358490567,0.17723688091730824,0.18207043547328908,0.0,0.12480000000000001,54.0,True,['all'],0.16666666666666663,0.9712284826731945
181,38.82352941176471,0.029247058823529418,5.882352941176471,0.24798199555381886,0.25142321647170573,0.07343406555183297,0.09040000000000001,52.0,True,['all'],0.7884615384615384,0.8112565163666294
183,38.82352941176471,0.03623529411764706,5.882352941176471,0.13978999100485665,0.14088378783246275,0.007628662930902926,0.112,52.0,True,['all'],0.8653846153846154,0.876665457091192
203,0.0,0.0,0.0,0.1829810251269964,0.21469951375162352,,0.08800000000000001,55.0,True,['all'],1.0,0.8395831209156249
395,25.063291139240505,0.031746835443037975,3.79746835443038,0.04175712669690639,0.166711293033402,0.0,0.152,79.0,True,['all'],0.0,0.9773793573160461
397,0.0,0.0,0.0,0.10372287196383292,0.13627176157271947,,0.0912,79.0,True,['all'],0.0,0.9765388821619487
