,BPM,Activity Index,Bends per 15.00 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
1,0.0,0.0,0.0,0.044415204809294846,0.055064567564075476,,0.0848,76.0,False,['all'],0.9125,0.8341828999152534
3,0.0,0.0,0.0,0.019776098816120396,0.025718317713733632,,0.06720000000000001,53.0,False,['all'],0.0,0.9501249843425181
4,0.0,0.0,0.0,0.012963557004910317,0.032733263288501034,,0.1744,58.0,False,['all'],0.3620689655172413,0.9319898872335945
6,35.64356435643564,0.022336633663366336,8.91089108910891,0.09564937516978797,0.11165780981190442,0.10664745308856793,0.0752,102.0,True,['all'],0.6764705882352942,0.9085250781753056
7,0.0,0.0,0.0,0.020775189275124423,0.02647626520473094,,0.052000000000000005,74.0,False,['all'],1.0,0.8494708890412466
10,12.244897959183671,0.006775510204081631,3.0612244897959178,0.045014094115580605,0.19251276451170923,0.049450672934574634,0.0664,88.0,True,['all'],0.2525252525252525,0.9219295252397287
11,0.0,0.0,0.0,0.004319109472409712,0.03208341493345129,,0.09920000000000001,75.0,False,['all'],0.8,0.9241313790504472
20,63.63636363636364,0.06193939393939395,15.90909090909091,0.018617511435408424,0.03699986944098085,0.05635832667248688,0.1168,102.0,True,['all'],0.13533834586466165,0.9578986752850126
27,0.0,0.0,0.0,0.0,0.007942705274545407,,0.0656,71.0,False,['all'],0.0,0.9687308989755009
28,0.0,0.0,0.0,0.0,0.0008870564871774968,,0.0432,66.0,False,['all'],1.0,0.8734444257596304
30,0.0,0.0,0.0,0.015142524122182331,0.026009433625358583,,0.0784,57.0,False,['all'],0.0,0.9725254746972853
31,0.0,0.0,0.0,0.0019919302317849687,0.01251975493729961,,0.0512,69.0,False,['all'],0.01449275362318836,0.9471295062598326
39,0.0,0.0,0.0,0.0027194281753848432,0.012526677764387385,,0.0944,61.0,False,['all'],0.0,0.9867183146351306
40,0.0,0.0,0.0,0.0,0.006322023040113795,,0.048,58.0,False,['all'],0.0,0.9850162385108103
42,0.0,0.0,0.0,0.0,0.0,,0.08,70.0,False,['all'],0.0,0.9685755558090517
48,0.0,0.0,0.0,0.0,0.022630859066074704,,0.12000000000000001,70.0,False,['all'],0.0,0.9671527695272293
57,0.0,0.0,0.0,0.0023589706258262265,0.010862804295598756,,0.1264,70.0,False,['all'],0.0,0.9756534614613125
66,0.0,0.0,0.0,0.008910331222741317,0.020690393035708105,,0.0512,60.0,False,['all'],0.0,0.969888335133293
75,0.0,0.0,0.0,0.0,0.0012714398460388565,,0.057600000000000005,75.0,False,['all'],0.013333333333333308,0.9472825148626098
78,0.0,0.0,0.0,0.002344146486608877,0.002344146486608877,,0.046400000000000004,68.0,False,['all'],1.0,0.8277885659492056
81,0.0,0.0,0.0,0.006806240163897196,0.008647327554910714,,0.049600000000000005,63.0,False,['all'],0.25,0.9289756596621586
120,0.0,0.0,0.0,0.004369021721839705,0.021870769885256484,,0.0816,68.0,False,['all'],0.0,0.9855623249197767
132,19.047619047619047,0.025142857142857144,4.761904761904762,0.0664334115845835,0.07582051524796299,0.0,0.1584,62.0,True,['all'],0.0,0.9497444195570522
133,0.0,0.0,0.0,0.0011071255188511706,0.019346581322281516,,0.1328,64.0,False,['all'],0.0,0.9539213111419036
147,0.0,0.0,0.0,0.0,0.009895039917240526,,0.054400000000000004,62.0,False,['all'],1.0,0.8519064269544613
151,0.0,0.0,0.0,0.005772300254582748,0.013505166035610323,,0.064,60.0,False,['all'],1.0,0.7620919979423352
152,0.0,0.0,0.0,0.004041911719537441,0.010540528866856464,,0.1456,60.0,False,['all'],0.0,0.9594023564427004
159,0.0,0.0,0.0,0.025738571719786663,0.037793750705519547,,0.1056,59.0,False,['all'],0.10169491525423724,0.938150172913144
160,0.0,0.0,0.0,0.0023609931454336586,0.008384168593091483,,0.0448,59.0,False,['all'],0.0,0.9469250422611907
161,0.0,0.0,0.0,0.005525028200227908,0.00853818972271706,,0.0432,54.0,False,['all'],1.0,0.4119377035025761
